# commit: 34799ff13cba0c79c2ae4ec9dd484621e7465b07
# arch	numCUs	numChiplets	testVector	perfConfig (greedy)
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 128 -n 1280 -k 1280	v4:16,64,4,16,16,16,8,4,4,1,8,64,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 128 -n 1280 -k 5120	v4:32,32,8,16,16,16,8,4,4,2,0,0,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 2048 -n 640 -k 2560	v4:96,64,8,48,16,16,16,1,1,1,4,64,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 128 -n 3840 -k 1280	v4:32,32,8,16,32,16,8,1,4,2,0,0,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 128 -n 24960 -k 1024	v4:128,64,2,32,64,32,16,1,4,1,8,4,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 128 -n 10240 -k 1280	v4:64,128,8,32,32,32,16,1,2,1,2,8,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB true -g 1 -m 2 -n 20160 -k 1280	v4:16,16,4,16,16,16,16,1,4,0,4,4,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB true -g 1 -m 2 -n 1280 -k 320	v4:16,16,8,16,16,16,8,4,4,1,0,64,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 1 -n 3072 -k 1024	v4:16,16,4,16,16,16,16,4,4,1,8,4,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 16 -m 1 -n 1 -k 64	v4:16,96,4,16,96,16,16,1,3,0,1,16,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 16 -m 1 -n 64 -k 1	v4:112,32,4,112,16,16,4,1,1,0,2,64,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 1 -n 1024 -k 1024	v4:16,16,8,16,16,16,16,4,4,2,0,0,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB true -g 1 -m 2 -n 1280 -k 1280	v4:16,16,4,16,16,16,16,4,4,1,0,0,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 1 -n 4096 -k 1024	v4:32,32,8,16,16,16,8,4,4,1,0,8,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 1 -n 1024 -k 4096	v4:16,16,4,16,16,16,16,4,4,1,4,64,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 4096 -n 1536 -k 512	v4:64,64,4,64,64,16,8,1,4,1,1,16,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB true -g 1 -m 384 -n 1024 -k 1024	v4:48,32,8,48,16,16,16,1,2,0,1,4,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 4096 -n 512 -k 512	v4:64,64,4,64,32,16,8,1,4,1,4,64,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB true -g 1 -m 384 -n 3072 -k 1024	v4:32,96,4,32,48,16,16,1,4,1,2,0,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB true -g 1 -m 384 -n 1024 -k 4096	v4:64,32,8,16,16,16,16,4,2,1,8,8,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB true -g 1 -m 384 -n 4096 -k 1024	v4:48,48,4,48,48,16,8,1,4,0,8,64,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB true -g 1 -m 384 -n 2 -k 1024	v4:16,16,8,16,16,16,8,4,4,1,8,32,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB true -g 32 -m 256 -n 256 -k 128	v4:32,32,8,16,16,16,4,1,1,2,0,0,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 256 -n 22016 -k 4096	v4:32,64,4,32,16,16,8,1,4,1,1,0,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 256 -n 4096 -k 11008	v4:128,64,4,128,16,16,4,4,4,0,2,8,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 32 -m 256 -n 128 -k 256	v4:32,32,8,32,32,16,4,1,4,1,2,0,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 256 -n 4096 -k 4096	v4:32,64,4,32,16,16,8,1,4,0,8,16,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 256 -n 12288 -k 4096	v4:64,64,4,64,16,16,4,1,4,0,0,64,1,1
gfx950:sramecc+:xnack-	256	8	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 256 -n 32000 -k 4096	v4:64,256,4,64,32,16,8,1,4,1,4,8,1,1
gfx950:sramecc+:xnack-	256	8	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 256 -n 22016 -k 4096	v4:64,128,8,32,64,16,16,1,1,0,8,16,1,1
gfx950:sramecc+:xnack-	256	8	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 256 -n 4096 -k 11008	v4:128,32,32,16,32,16,16,1,1,0,2,16,1,1
gfx950:sramecc+:xnack-	256	8	-t i8 -out_datatype i32 -transA false -transB true -g 32 -m 256 -n 256 -k 128	v4:64,128,8,64,32,16,16,1,1,2,0,0,1,1
gfx950:sramecc+:xnack-	256	8	-t i8 -out_datatype i32 -transA false -transB false -g 32 -m 256 -n 128 -k 256	v4:64,64,16,32,16,16,16,1,2,1,2,32,1,1
gfx950:sramecc+:xnack-	256	8	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 256 -n 12288 -k 4096	v4:128,96,32,32,96,16,16,1,1,1,1,32,1,1
gfx950:sramecc+:xnack-	256	8	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 256 -n 4096 -k 4096	v4:64,32,16,16,32,16,16,1,2,1,8,4,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 256 -n 12288 -k 4096	v4:64,96,8,32,48,16,16,1,2,1,8,64,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 256 -n 4096 -k 11008	v4:128,128,8,32,64,16,8,4,2,0,2,32,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 256 -n 4096 -k 4096	v4:128,32,8,32,32,16,8,1,4,0,4,8,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 256 -n 22016 -k 4096	v4:128,128,8,64,64,16,8,1,2,0,1,0,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 256 -n 151936 -k 4096	v4:256,128,8,64,64,16,8,1,2,1,4,4,1,1
gfx950:sramecc+:xnack-	256	8	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 256 -n 32000 -k 4096	v4:128,128,8,32,64,16,16,1,1,0,1,32,1,1
gfx950:sramecc+:xnack-	256	8	-t i8 -out_datatype i32 -transA false -transB false -g 1 -m 256 -n 151936 -k 4096	v4:256,128,4,256,32,16,16,1,4,0,8,64,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 256 -n 9216 -k 3072	v4:32,96,8,16,96,16,8,1,2,1,2,8,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 256 -n 16384 -k 3072	v4:128,128,8,32,64,16,16,1,2,1,8,32,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 256 -n 3072 -k 8192	v4:128,32,4,32,32,16,16,4,4,1,0,32,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 256 -n 3072 -k 3072	v4:112,32,8,112,16,16,16,3,1,1,4,4,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 48 -n 256 -k 1	v4:16,16,8,16,16,16,4,3,3,1,1,32,1,1
gfx950:sramecc+:xnack-	256	8	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 256 -n 32064 -k 3072	v4:128,128,8,64,64,16,8,1,2,1,4,0,1,1
